479491239	20141027	201410	2014	2014.8137											BUS	COMPANY						BUS			1	051	051	05	1	3.4	3	1	3	-1.76470588235294	0								3	Salem, Oregon, United States	US	USOR	OR047	44.9429	-123.035	1167861	3	Salem, Oregon, United States	US	USOR	OR047	44.9429	-123.035	1167861	20151027220000	http://www.capitalpress.com/Oregon/20151027/thornless-marionberries-reduce-liability-concerns
479491240	20141027	201410	2014	2014.8137											BUS	COMPANY						BUS			1	051	051	05	1	3.4	2	1	2	-1.76470588235294	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20151027220000	http://www.capitalpress.com/Oregon/20151027/thornless-marionberries-reduce-liability-concerns
479491241	20141027	201410	2014	2014.8137											IRL	IRELAND	IRL								1	051	051	05	1	3.4	10	1	10	8.15217391304347	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	2	New York, United States	US	USNY		42.1497	-74.9384	NY	20151027220000	http://www.irishcentral.com/culture/community/Childrens-Medical-Research-Foundation-CMRF-Shin.html
479491242	20141027	201410	2014	2014.8137											ITA	ITALY	ITA								1	043	043	04	1	2.8	8	1	8	4.84581497797357	0								4	Assisi, Umbria, Italy	IT	IT18	18411	43.0667	12.6167	-110824	4	Assisi, Umbria, Italy	IT	IT18	18411	43.0667	12.6167	-110824	20151027220000	http://newyorkcitypainter.blogspot.com/2015/10/assisi-italy-painting-in-piazza-de.html
479491243	20141027	201410	2014	2014.8137	AUS	AUSTRALIA	AUS								IND	NEW DELHI	IND								0	141	141	14	3	-6.5	3	1	3	-2.1015761821366	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	Canberra, Australian Capital Territory, Australia	AS	AS01	4940	-35.2833	149.217	-1563952	20151027220000	http://www.dailypioneer.com/columnists/edit/a-very-important-catch.html
479491244	20141027	201410	2014	2014.8137	AUS	AUSTRALIA	AUS								IND	NEW DELHI	IND								0	141	141	14	3	-6.5	1	1	1	-2.1015761821366	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	4	New Delhi, Delhi, India	IN	IN07	17911	28.6	77.2	-2106102	20151027220000	http://www.dailypioneer.com/columnists/edit/a-very-important-catch.html
479491245	20141027	201410	2014	2014.8137	BUS	COMPANY						BUS			JUD	FEDERAL COURT						JUD			1	010	010	01	1	0.0	6	1	6	-6.53266331658291	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20151027220000	http://finance.ninemsn.com.au/newsbusiness/9045839/i-forged-documents-for-salim-mahejer-friend
479491246	20141027	201410	2014	2014.8137	BUS	COMPANY						BUS			JUD	FEDERAL COURT						JUD			1	013	013	01	1	0.4	4	1	4	-6.53266331658291	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20151027220000	http://finance.ninemsn.com.au/newsbusiness/9045839/i-forged-documents-for-salim-mahejer-friend
479491247	20141027	201410	2014	2014.8137	CAN	CANADA	CAN								COP	PRISON						COP			0	173	173	17	4	-5.0	1	1	1	-6.62650602409638	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	20151027220000	http://www.abajournal.com/news/article/black_u.s._citizen_seeking_refugee_status_in_canada
479491248	20141027	201410	2014	2014.8137	CAN	CANADA	CAN								COP	PRISON						COP			0	173	173	17	4	-5.0	7	1	7	-6.62650602409638	4	Vancouver, British Columbia, Canada	CA	CA02	12552	49.25	-123.133	-575268	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20151027220000	http://www.abajournal.com/news/article/black_u.s._citizen_seeking_refugee_status_in_canada
